#;Media;Total;Categoría;Nombre;Apodo;Año;Procedencia;Equipo;Liga;"Pierna
Dominante";Posición;Impacto Ofensivo;Impacto Defensivo;Ritmo;Ejecución Técnica;Comportamiento Táctico;Skill RBB;Altura;Complexión;Comentarios;Rendimiento;Proyección;Contexto;Ojeador;Media Javi G;Media Á. Oñate;Media J.L. Tijerín;Media J. Román;Peso Impacto Ofensivo;Peso Impacto Defensivo;Peso Ritmo;Peso Ejecución Técnica;Peso Comportamiento Táctico;Peso Skill;NOM PROPIO SIN TILDES;Peso Altura;Peso Complexión;Etapa;Año Ponderación;;CONTRATOS;
510;4,01;24;Senior;Rúben Martins Ribeiro;Rúben Ribeiro;2004;Portugal;SC Farense U23;Liga Revelação U23;Diestro;Extremo;5;3;4;4;5;3;4;3;"Rúben Ribeiro es un jugador nacido en el año 2004, actualmente en etapa de rendimiento (Senior), de altura media-alta y complexión normal. Actúa principalmente como extremo y es de lateralidad diestra.
A nivel ofensivo, participa con cierta continuidad, aunque sin generar peligro claro desde banda y en situaciones de desequilibrio. En defensa, su participación es muy puntual y sin impacto real en ayudas, repliegue y presión. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en aceleración, desborde y repetición de acciones de alta intensidad. En ejecución técnica, muestra una ejecución irregular en control, conducción, centro y finalización.
A nivel táctico, presenta un posicionamiento correcto en amplitud, profundidad y ayudas. En cuanto a la skill, presenta recursos muy básicos en regate, 1v1 y acciones imprevisibles.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;4,01;;0,22;0,08;0,27;0,10;0,08;0,18;;0,04;0,03;Rendimiento;2006;;30/06/2026;
511;5,97;30;Senior;Gal Kranjcic;Gal Kranjcic;2006;Eslovenia;SC Farense U23;Liga Revelação U23;Zurdo;Centrocampista;6;5;4;5;6;4;4;4;"Gal Kranjcic es un jugador nacido en el año 2006, actualmente en etapa de rendimiento (Senior), de altura media-alta y complexión fuerte. Actúa principalmente como centrocampista y es de lateralidad zurda.
A nivel ofensivo, genera acciones de peligro de forma ocasional en la ocupación de zonas ofensivas y la llegada desde segunda línea. En defensa, participa con cierta continuidad, aunque sin frenar al rival de forma clara en ayudas, presión y recuperación. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en ida y vuelta, intensidad y continuidad. En ejecución técnica, presenta una ejecución correcta en control, pase y conducción.
A nivel táctico, muestra un buen posicionamiento en muchas acciones en ocupación de espacios, apoyos y llegada. En cuanto a la skill, deja ver algún recurso puntual en conducción, recursos en espacios y acciones técnicas.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento complementario para el contexto competitivo actual y su proyección hacia el fútbol profesional sugiere una proyección más limitada hacia contextos competitivos poco exigentes.";C;C;Betis Deportivo;J.L. Tijerín;;;5,03;6,91;0,11;0,11;0,16;0,24;0,23;0,07;;0,05;0,03;Rendimiento;2006;;30/06/2028;
512;4,01;24;Senior;Joao Pedro Fabiao Costa;Joao Costa;2005;Portugal;SC Farense U23;Liga Revelação U23;Diestro;Extremo;5;3;4;4;5;3;4;3;"Joao Costa es un jugador nacido en el año 2005, actualmente en etapa de rendimiento (Senior), de altura media-alta y complexión normal. Actúa principalmente como extremo y es de lateralidad diestra.
A nivel ofensivo, participa con cierta continuidad, aunque sin generar peligro claro desde banda y en situaciones de desequilibrio. En defensa, su participación es muy puntual y sin impacto real en ayudas, repliegue y presión. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en aceleración, desborde y repetición de acciones de alta intensidad. En ejecución técnica, muestra una ejecución irregular en control, conducción, centro y finalización.
A nivel táctico, presenta un posicionamiento correcto en amplitud, profundidad y ayudas. En cuanto a la skill, presenta recursos muy básicos en regate, 1v1 y acciones imprevisibles.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;4,01;;0,22;0,08;0,27;0,10;0,08;0,18;;0,04;0,03;Rendimiento;2006;;30/06/2026;
513;4,12;24;Senior;Gabriel Henrique Cardoso Silva;Gabriel Cardoso;2005;Brasil;SC Farense U23;Liga Revelação U23;Diestro;Delantero;5;3;4;4;5;3;4;4;"Gabriel Cardoso es un jugador nacido en el año 2005, actualmente en etapa de rendimiento (Senior), de altura media-alta y complexión fuerte. Actúa principalmente como delantero y es de lateralidad diestra.
A nivel ofensivo, participa con cierta continuidad, aunque sin generar peligro claro en la finalización, los desmarques y la generación de ocasiones. En defensa, su participación es muy puntual y sin impacto real desde la presión sobre la salida rival. En cuanto al ritmo, está por debajo de la media en ritmo y dinamismo en desmarques, aceleración y explosividad. En ejecución técnica, muestra una ejecución irregular en control y finalización.
A nivel táctico, presenta un posicionamiento correcto en ubicación, desmarques y referencia ofensiva. En cuanto a la skill, presenta recursos muy básicos en control, finalización y recursos propios del área.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento muy alejado de lo que exige el contexto competitivo actual y su proyección hacia el fútbol profesional hace difícil pensar en un recorrido relevante hacia el fútbol profesional.";D;D;Betis Deportivo;J.L. Tijerín;;;4,12;;0,28;0,04;0,14;0,10;0,10;0,22;;0,07;0,05;Rendimiento;2006;;30/06/2026;
514;6,34;39;Juvenil;Daniel Alexandre Silva Costa;Daniel Costa;2007;Portugal;Sporting CP U19;División de Honor Juvenil Portugal;Diestro;Lateral;7;7;7;6;7;5;2;4;Diestro. Partido Real Madrid vs Sporting de Portugal de cuartos de final de Youth League. Jugó de lateral derecho, con vocación ofensiva. Talla media-baja, con físico compacto. Rápido en vertical y al repliegue. Recorría toda la banda y lo hacía con profundidad. Técnico defensivamente. Buen uno contra uno defensivo y ofensivo. Se desenvuelve bien con balón. Juega con intensidad y a ritmo alto. En el último tercio de campo encaraba y trataba de generar peligro. Fue de menos a más en el partido. Es internacional Sub-19 con Portugal.;A;B;Betis Deportivo;J.L. Tijerín;;;6,34;;0,10;0,26;0,27;0,09;0,09;0,10;;0,05;0,04;Pre-élite;2007;;30/06/2027;
515;6,52;43;Juvenil;Eduardo Manuel de Freitas Monteiro Ferreira Felicíssimo;Eduardo Felicíssimo;2007;Portugal;Sporting CP U19;División de Honor Juvenil Portugal;Diestro;Defensa central;7;8;7;7;8;6;4;2;Diestro. Partido Real Madrid vs Sporting de Portugal de cuartos de final de Youth League. Empezó jugando de pivote, pero en el minuto 15 pasó a ser central por la lesión de uno de ellos. Talla media-alta, con físico atlético. Es poderoso. Fuerte en duelos, es contundente e intenso en sus acciones. Es más expeditivo que técnico defensivamente. Tiene buen juego aéreo, imprimiéndole potencia y buena dirección a los cabeceos. Da salida al balón con verticalidad y su golpeo es tenso. Lideraba la defensa y mostraba autoridad. Es internacional Sub-19 con Portugal.;A;B;Betis Deportivo;J.L. Tijerín;;6,29;6,74;;0,05;0,26;0,18;0,09;0,18;0,05;;0,14;0,05;Pre-élite;2007;;30/06/2030;
516;4,98;29;Juvenil;Rafael Ribeiro Mota;Rafael Mota;2007;Portugal;Sporting CP U19;División de Honor Juvenil Portugal;Zurdo;Defensa central;4;6;4;5;6;4;4;4;Zurdo. Partido Real Madrid vs Sporting de Portugal de cuartos de final de Youth League. Jugó de central izquierdo. Talla media-alta. Robusto físicamente, con buen tren inferior. Central expeditivo. Es algo lento en arrancada. Se le vio rígido de movimientos y tosco en giros. No se complicaba con balón. Le superaron en velocidad en las acciones del 1-1 y del 2-1.;C;C;Betis Deportivo;J.L. Tijerín;;;4,98;;0,05;0,26;0,18;0,09;0,18;0,05;;0,14;0,05;Pre-élite;2007;;30/06/2026;
517;6,40;41;Juvenil;Zaïd Bafdili;Zaïd Bafdili;2007;Bélgica;Sporting CP U19;División de Honor Juvenil Portugal;Diestro;Mediocentro;8;6;8;6;7;6;3;2;Diestro. Partido Real Madrid vs Sporting de Portugal de cuartos de final de Youth League. Jugó de mediocentro, con vocación ofensiva. Talla media y físico fibroso. Rápido y con cambio de ritmo. Es intenso con y sin balón. Participaba en ataque y en defensa, pero se le vio mejor a nivel ofensivo. Se desenvuelve bien con balón. Tiene llegada arriba y no duda en finalizar jugada. Generó peligro con su juego. Tiene nacionalidad belga y marroquí, y es internacional Sub-19 con Bélgica.;B;C;Betis Deportivo;J.L. Tijerín;;;6,40;;0,06;0,18;0,21;0,19;0,18;0,08;;0,07;0,03;Pre-élite;2007;;30/06/2028;
518;6,00;38;Juvenil;Gabriel Serodio da Silva;Gabriel Silva;2007;Portugal;Sporting CP U19;División de Honor Juvenil Portugal;Diestro;Delantero;7;5;7;6;7;6;2;2;Diestro. Partido Real Madrid vs Sporting de Portugal de cuartos de final de Youth League. Jugó de delantero, con movilidad. Talla media-baja. Rápido y dinámico. Habilidoso técnicamente. Ataca los espacios. Es asociativo. Presiona, pero sin mucha intensidad. El poste le negó un gol de cabeza con 1-1 en el marcador. Es internacional Sub-19 con Portugal.;B;B;Betis Deportivo;J.L. Tijerín;;;6,00;;0,27;0,05;0,14;0,10;0,10;0,21;;0,07;0,05;Pre-élite;2007;;30/06/2026;
519;6,83;42;Juvenil;Flávio Ferreira Gonçalves;Flávio Gonçalves;2007;Francia;Sporting CP U19;División de Honor Juvenil Portugal;Diestro;Mediapunta;8;5;7;7;7;8;3;1;"Flávio Gonçalves es un jugador nacido en el año 2007, actualmente en etapa pre-élite (Juvenil), de altura media y complexión atlética, sin formar a nivel muscular. Actúa principalmente como delantero, aunque muestra capacidad para jugar en cualquier posición de ataque y es de lateralidad diestra.
A nivel ofensivo, muestra un impacto ofensivo alto en su posición, destacando en la finalización, los desmarques y la generación de ocasiones. Además, es un jugador versátil dentro del frente de ataque, con capacidad para actuar en distintas posiciones ofensivas, aportando dinamismo, movilidad y presencia tanto en apoyos como en rupturas, con capacidad real para finalizar jugadas y participar en la generación de ventajas para el equipo.
En defensa, participa con cierta continuidad, aunque sin frenar al rival de forma clara desde la presión sobre la salida rival, mostrando implicación pero sin un impacto diferencial en fase sin balón.
En cuanto al ritmo, presenta un ritmo alto y sostiene bien la intensidad en desmarques, aceleración y explosividad, siendo un jugador activo, dinámico y con gran control corporal.
En ejecución técnica, presenta una ejecución de alta precisión y seguridad en control y finalización, sumando además recursos técnicos en conducción y acciones ofensivas que le permiten resolver situaciones en espacios reducidos y generar peligro con balón.
A nivel táctico, presenta un comportamiento táctico coherente y eficaz en ubicación, desmarques y referencia ofensiva, mostrando también capacidad para adaptarse a diferentes alturas y roles dentro del ataque en función del contexto del juego.
En cuanto a la skill, muestra un rasgo claramente diferencial y reconocible en control, finalización y recursos propios del área, complementado con capacidad para generar acciones ofensivas a través de su talento natural y variedad de registros en el último tercio.
En mi opinión, para el contexto Betis Deportivo, el jugador ofrecería un rendimiento óptimo y adecuado para el contexto competitivo actual, siendo un perfil ofensivo versátil, dinámico y con talento, cuya proyección hacia el fútbol profesional indica que sus cualidades podrían permitirle competir en contextos de nivel alto.";B;A;Betis Deportivo;Javi Galán;6,69;;6,96;;0,12;0,08;0,12;0,24;0,10;0,23;;0,05;0,05;Pre-élite;2007;;30/06/2030;
520;6,24;39;Juvenil;Alexandre Issanga;Alexandre Issanga;2007;Francia;Olympique de Marsella U19;División de Honor Juvenil Francia;Diestro;Mediocentro;8;6;7;6;7;5;4;4;Diestro. Partido Real Madrid vs Olympique de Marsella de Fase de grupos de la Youth League. Jugó de pivote, participando en defensa y en ataque. Destaca por el físico. Talla alta y fuerte físicamente, con musculatura desarrollada tanto en el tren superior como en el inferior. Jugador de corte físico. Potente en arrancada, en conducción y en carrera. No es lento. Juega el balón hacia delante y se proyecta en ataque, tiene recorrido en medio campo y llegada al área rival. No es torpe con balón y avanza en conducción con él. Su golpeo de balón es tenso. Fue sustituido por lesión en el minuto 55.;B;B;Betis Deportivo;J.L. Tijerín;;;6,24;;0,06;0,18;0,21;0,19;0,18;0,08;;0,07;0,03;Pre-élite;2007;;30/06/2027;
521;6,38;38;Juvenil;Keziah Paul Oteng-Mensah;Keziah Oteng-Mensah;2008;Alemania;Eintracht Frankfurt U19;División de Honor Juvenil Alemania;Diestro;Extremo;8;4;7;6;8;5;4;4;Diestro. Partido Atlético de Madrid vs Eintracht Frankfurt de Fase de grupos de la Youth League. Talla media-alta, con buen tono físico. Extremo encarador, busca el uno contra uno. Tira de explosividad en sus acciones, es más potente que técnico. Ataca los espacios. Sale por dentro y por fuera. Fue sustituido en el minuto 56. No hizo un partido especialmente destacado pero se le vieron buenas condiciones. Es germano-ghanés y ha sido internacional Sub17 con Alemania.;B;B;Betis Juvenil DH;J.L. Tijerín;;;6,38;;0,21;0,09;0,26;0,11;0,09;0,17;;0,04;0,03;Pre-élite;2008;;30/06/2027;
522;6,95;43;Juvenil;Genesis Kofi Koranteng Antwi;Genesis Antwi;2007;Suecia;Chelsea FC U19;División de Honor Juvenil Inglaterra;Diestro;Lateral;8;6;8;7;6;8;4;3;"Genesis Antwi es un jugador nacido en el año 2007, actualmente en etapa pre-élite (Juvenil), de altura media-alta y complexión normal. Actúa principalmente como lateral y es de lateralidad diestra.
A nivel ofensivo, muestra un impacto ofensivo diferencial en su posición a través de sus incorporaciones, centros y presencia en campo rival, destacando especialmente por su capacidad para generar ventajas en conducción y situaciones de 1vs1, así como por su volumen de llegadas y participación en último tercio. Es un jugador profundo, con tendencia a activar constantemente el carril y sostener amplitud, acumulando acciones ofensivas de forma continuada.
En defensa, interviene y logra recuperar o frenar acciones de forma ocasional en duelo, contención y defensa de banda. Su rendimiento defensivo se apoya más en su capacidad física, recorrido y actividad que en la contundencia o la precisión en el tackle, mostrando un comportamiento competitivo correcto pero sin llegar a ser dominante en esta fase.
En cuanto al ritmo, tiene un ritmo diferencial en su posición en recorridos largos y repetición de esfuerzos, siendo este uno de sus principales rasgos distintivos. Es un jugador con una capacidad condicional muy alta, capaz de sostener esfuerzos continuos, repetir acciones de alta intensidad y mantener una presencia constante tanto en fase ofensiva como en transiciones.
En ejecución técnica, presenta una ejecución de buena precisión y seguridad en control, pase y centro, con recursos especialmente interesantes en conducción y en acciones en carrera. Su técnica está claramente orientada al desequilibrio y a la progresión, siendo menos diferencial en contextos de pausa o gestión.
A nivel táctico, muestra un buen posicionamiento en muchas acciones en altura, amplitud y ajuste defensivo, interpretando correctamente su rol en contextos ofensivos. No obstante, su comportamiento está más optimizado para escenarios de dominio y juego abierto que para contextos de control o exigencia defensiva sostenida.
En cuanto a la skill, muestra un rasgo claramente diferencial y reconocible en conducción, centro y acciones poco previsibles, siendo un jugador capaz de generar ventajas de forma individual desde banda con cierta facilidad.
En mi opinión, para el contexto Betis Juvenil DH, el jugador ofrecería un rendimiento óptimo y adecuado para el contexto competitivo actual y su proyección hacia el fútbol profesional apunta a un potencial alto, especialmente en entornos donde pueda explotar su capacidad física, profundidad y producción ofensiva, debiendo seguir desarrollando su consistencia defensiva para adaptarse a escenarios de máxima exigencia.";A;A;Betis Deportivo;Javi Galán;6,81;6,96;7,07;;0,10;0,26;0,27;0,09;0,09;0,10;;0,05;0,04;Pre-élite;2007;;30/06/2028;
